state,crop,profit,,
Andhra Pradesh,Rice,63851.8391,,
Andhra Pradesh,Jowar,10974.06918,,
Andhra Pradesh,Bajra,7414.478167,,
Andhra Pradesh,Maize,31369.83628,,
Andhra Pradesh,Ragi,5636.376098,,
Andhra Pradesh,Wheat,1,,
Andhra Pradesh,Barley,-1,,
Andhra Pradesh,Gram,5058.972382,,
Andhra Pradesh,Tur,1,,
Andhra Pradesh,Groundnut,10177.46897,,
Andhra Pradesh,Mustard,1,,
Andhra Pradesh,Soyabean,7632.152855,,
Andhra Pradesh,Sunflower,9739.718468,,
Andhra Pradesh,Cotton,1,,
Andhra Pradesh,Jute,-1,,
Andhra Pradesh,Mesta,1609.930873,,
Andhra Pradesh,Sugarcane,893130.4967,,
Arunachal Pradesh,Rice,999.586564,,
Arunachal Pradesh,Jowar,-1,,
Arunachal Pradesh,Bajra,-1,,
Arunachal Pradesh,Maize,4482.932344,,
Arunachal Pradesh,Ragi,-1,,
Arunachal Pradesh,Wheat,2388.555551,,
Arunachal Pradesh,Barley,-1,,
Arunachal Pradesh,Gram,-1,,
Arunachal Pradesh,Tur,3390,,
Arunachal Pradesh,Groundnut,-1,,
Arunachal Pradesh,Mustard,7963.315163,,
Arunachal Pradesh,Soyabean,3841.361977,,
Arunachal Pradesh,Sunflower,-1,,
Arunachal Pradesh,Cotton,-1,,
Arunachal Pradesh,Jute,-1,,
Arunachal Pradesh,Mesta,-1,,
Arunachal Pradesh,Sugarcane,204345.6735,,
Assam,Rice,25101.5,,
Assam,Jowar,-1,,
Assam,Bajra,-1,,
Assam,Maize,1,,
Assam,Ragi,-1,,
Assam,Wheat,1,,
Assam,Barley,-1,,
Assam,Gram,1,,
Assam,Tur,1,,
Assam,Groundnut,-1,,
Assam,Mustard,4885,,
Assam,Soyabean,-1,,
Assam,Sunflower,-1,,
Assam,Cotton,1,,
Assam,Jute,34954,,
Assam,Mesta,1,,
Assam,Sugarcane,430802,,
Bihar,Rice,3193.019776,,
Bihar,Jowar,8725.251076,,
Bihar,Bajra,7863.821488,,
Bihar,Maize,18223.12158,,
Bihar,Ragi,333.1931379,,
Bihar,Wheat,5272.153766,,
Bihar,Barley,1,,
Bihar,Gram,1231.946383,,
Bihar,Tur,7053.887398,,
Bihar,Groundnut,1,,
Bihar,Mustard,5664.649191,,
Bihar,Soyabean,-1,,
Bihar,Sunflower,1,,
Bihar,Cotton,-1,,
Bihar,Jute,1,,
Bihar,Mesta,1,,
Bihar,Sugarcane,493081.2369,,
Chattisgarh,Rice,730,,
Chattisgarh,Jowar,7174,,
Chattisgarh,Bajra,-1,,
Chattisgarh,Maize,2804,,
Chattisgarh,Ragi,1,,
Chattisgarh,Wheat,1,,
Chattisgarh,Barley,1,,
Chattisgarh,Gram,1,,
Chattisgarh,Tur,1,,
Chattisgarh,Groundnut,27478.1,,
Chattisgarh,Mustard,1,,
Chattisgarh,Soyabean,1,,
Chattisgarh,Sunflower,1,,
Chattisgarh,Cotton,1,,
Chattisgarh,Jute,-1,,
Chattisgarh,Mesta,1,,
Chattisgarh,Sugarcane,6062,,
